Date,Nvidia,AAPL,BAESY,CJJD,AZN,SAS,TSLA,Saab AB,PFE,GME,HSBC,LVMH,,,,,,,,,,,,,
08/07/2013,0.0281,0.0218,0.0478,0.0909,0.0321,-0.0232,0.0817,0.0439,0.03,0.0042,0.0231,0.0656,,,,,,,,,,,,,
15/07/2013,-0.0273,-0.0037,0.0151,0.2833,0.0085,0.004,-0.0787,-0.0957,0.0097,0.0067,0.0273,-0.0023,,,,,,,,,,,,,
22/07/2013,-0.0028,0.0377,0.0339,-0.2727,0.011,0.0039,0.0811,-0.0256,0.0096,0.0538,0.0048,0.0158,,,,,,,,,,,,,
29/07/2013,0.0394,0.0489,0.0247,0,0.0127,0.0078,0.0665,-0.0189,0,0.1002,0.0235,0.0415,,,,,,,,,,,,,
05/08/2013,-0.0183,-0.0175,-0.0115,-0.0179,-0.0086,0.1089,0.1087,-0.0017,0.0027,-0.0282,-0.0469,-0.0114,,,,,,,,,,,,,
12/08/2013,0.0483,0.1127,0.0018,0.0545,-0.015,-0.0526,-0.0719,0.0084,-0.0288,-0.0284,0.0018,0.0133,,,,,,,,,,,,,
19/08/2013,-0.0151,-0.0026,0.0203,-0.0345,0.0317,-0.037,0.1397,-0.0175,-0.0011,0.0849,-0.0164,-0.0135,,,,,,,,,,,,,
26/08/2013,-0.0091,-0.0275,-0.0391,-0.0893,-0.0288,-0.0346,0.0442,0.0288,-0.0046,-0.0273,-0.0283,-0.0464,,,,,,,,,,,,,
02/09/2013,0.0088,0.0226,0.0322,0.0784,-0.0067,0.2669,-0.012,0.0305,0.0025,-0.0065,0.0553,0.0355,,,,,,,,,,,,,
09/09/2013,0.0618,-0.0669,0.0133,-0.0909,0.0362,0.2013,-0.0086,0.0735,0.0081,0.0572,0.0103,0.0321,,,,,,,,,,,,,
16/09/2013,-0.0006,0.0054,0.0106,0.02,0.0257,0.0471,0.1078,-0.0179,0.0161,-0.0576,-0.0134,0.0452,,,,,,,,,,,,,
23/09/2013,-0.0133,0.0328,0.0561,0.1765,-0.0035,0.145,0.041,-0.0015,-0.0031,0.0045,-0.0063,-0.0135,,,,,,,,,,,,,
30/09/2013,0.0006,0.0006,-0.0358,0.4333,-0.0087,0.0961,-0.052,-0.0175,0.0042,0.0211,-0.0005,0.0045,,,,,,,,,,,,,
07/10/2013,-0.0212,0.0202,-0.0379,-0.0349,-0.007,-0.2072,-0.0126,-0.0031,-0.0097,0.017,0.0108,-0.0034,,,,,,,,,,,,,
